epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
90,166.142,0.68631,1.01534,1.08863,0.91839,0.95372,0.97914,0.83363,0.56707,0.80269,0.89718,0.0002378,0.0002378,0.0002378
91,180.374,0.6723,1.24645,1.07413,0.91839,0.95372,0.97914,0.83363,0.56707,0.80269,0.89718,0.000218,0.000218,0.000218
92,182.12,0.64576,2.05054,1.07711,0.94518,0.9322,0.97882,0.83912,0.54727,0.8053,0.88419,0.0001982,0.0001982,0.0001982
93,183.867,0.72911,1.81536,1.18257,0.94518,0.9322,0.97882,0.83912,0.54727,0.8053,0.88419,0.0001784,0.0001784,0.0001784
94,185.606,0.57091,1.34555,1.01716,0.94518,0.9322,0.97882,0.83912,0.54727,0.8053,0.88419,0.0001586,0.0001586,0.0001586
95,187.344,0.58288,1.38388,1.04367,0.93321,0.94737,0.97635,0.839,0.55703,0.86414,0.90348,0.0001388,0.0001388,0.0001388
96,188.97,0.55387,1.17773,0.97309,0.93321,0.94737,0.97635,0.839,0.55703,0.86414,0.90348,0.000119,0.000119,0.000119
97,190.748,0.57191,1.32294,1.01277,0.91435,0.94915,0.97281,0.84679,0.55119,0.89831,0.89625,9.92e-05,9.92e-05,9.92e-05
98,192.412,0.69853,1.56838,1.13976,0.91435,0.94915,0.97281,0.84679,0.55119,0.89831,0.89625,7.94e-05,7.94e-05,7.94e-05
99,194.14,0.61875,1.11519,0.94844,0.91435,0.94915,0.97281,0.84679,0.55119,0.89831,0.89625,5.96e-05,5.96e-05,5.96e-05
100,195.846,0.56408,1.03986,0.94327,0.89694,0.94915,0.96783,0.8341,0.55474,0.93699,0.89503,3.98e-05,3.98e-05,3.98e-05
